year,GEOID,NAME,popE,popM,median_hhincE,median_hhincM,povertyE,povertyM,pop_povertyE,pop_povertyM,median_rentE,median_rentM,median_homeE,median_homeM,whiteE,whiteM,blackE,blackM,hispanicE,hispanicM,asianE,asianM,foreign_bornE,foreign_bornM,survey,giniE,giniM,unempE,unempM,laborforceE,laborforceM,no_hsE,no_hsM,bachelorsE,bachelorsM,pop_25plusE,pop_25plusM,snapE,snapM,snap_totalE,snap_totalM,no_health_insE,no_health_insM
2009,3603810,"PUMA 03810, New York",143354,3743,103166,3513,11781,1146,133248,2768,1940,48,991800,30691,107340,3125,3187,479,8151,1104,21065,1311,32261,1659,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603901,"PUMA 03901, New York",167920,2294,85682,2401,6813,893,166613,2235,1154,35,497400,5722,144270,2314,1770,459,14057,1180,6771,862,22565,1603,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603902,"PUMA 03902, New York",140067,2791,70731,2021,12812,1775,136246,2522,1102,35,467100,5585,103598,2446,4273,885,16028,1588,15221,1150,34922,1861,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603903,"PUMA 03903, New York",175181,2420,57903,2155,27767,2154,170542,2583,1035,25,407000,5289,76210,2241,39318,1034,42639,1774,13375,1197,40599,2041,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604001,"PUMA 04001, New York",145244,3184,40143,1542,44925,2645,145111,3184,1002,23,629400,26003,92158,2700,5633,815,38522,2140,7449,965,37442,1820,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604002,"PUMA 04002, New York",128615,3105,31201,1513,41581,2615,127110,2999,920,18,489500,16759,8751,887,25297,1557,88408,3085,4262,677,48335,2462,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604003,"PUMA 04003, New York",134493,3380,32071,1341,44229,2879,133752,3381,843,25,583500,15458,16089,1215,88728,3034,24736,2169,2857,711,25823,1484,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604004,"PUMA 04004, New York",116101,2913,60592,2289,21871,1720,111214,2669,1082,47,622100,25609,48155,1859,36080,1683,20966,1788,7221,942,20671,1191,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604005,"PUMA 04005, New York",116213,2918,81117,2268,13325,1851,115656,2878,1452,42,878300,38215,74351,2124,10359,1219,21675,1532,6343,794,18520,1399,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604006,"PUMA 04006, New York",126562,2801,38131,1285,30496,1978,125075,2785,930,16,555100,20340,18144,1282,90111,2573,13230,1337,2443,516,39485,1880,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604007,"PUMA 04007, New York",114591,2848,25822,1810,40452,2987,113021,2751,709,29,405700,17429,1384,560,86897,2413,23558,1954,580,251,31255,1774,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604008,"PUMA 04008, New York",156640,3315,33298,1367,43668,2632,155972,3293,911,17,441200,9703,7560,884,76490,2903,61117,2656,7465,1049,51336,2384,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604009,"PUMA 04009, New York",204841,3060,62766,1779,20631,1713,204146,3000,1097,19,490700,5648,60182,1922,121474,3116,15159,1358,5090,871,79325,2258,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604010,"PUMA 04010, New York",145827,2816,45495,1807,20097,1866,145031,2743,987,11,422000,7742,2444,490,129863,3104,8888,1427,1867,823,75797,2289,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604011,"PUMA 04011, New York",110312,2643,38721,1246,21482,1838,109566,2620,947,9,555100,27765,15606,1332,82813,2336,8912,1155,1282,464,50149,1826,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604012,"PUMA 04012, New York",151262,3231,42699,1594,34582,2312,147105,2915,1028,17,606900,14818,37533,2015,4745,717,67657,2745,38690,1772,68323,2348,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604013,"PUMA 04013, New York",127209,2417,54240,1658,17833,1713,126937,2500,1100,15,614400,11043,83886,2201,1339,349,17697,1845,22675,1674,44016,2062,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604014,"PUMA 04014, New York",163611,3375,39807,1549,44564,2887,162729,3338,1063,17,632200,15592,120547,3264,4074,829,17698,2027,20131,1766,55744,2276,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604015,"PUMA 04015, New York",160608,3068,42604,1453,32266,2588,159314,3106,1003,16,601600,22982,67174,2264,56298,1982,22184,2123,11719,1184,71262,2181,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604016,"PUMA 04016, New York",149019,3087,46380,1728,22809,1865,148290,3131,978,16,538300,13067,110568,2597,4976,936,10367,1646,22008,1926,66754,2442,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604017,"PUMA 04017, New York",177922,2676,40872,1515,29191,2284,177308,2702,1003,12,610000,7534,98373,3081,1026,290,20409,1866,56657,2936,90334,2447,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604018,"PUMA 04018, New York",109070,2502,32308,1293,23900,1729,108363,2538,767,18,450400,19339,66359,2263,13602,1156,16100,1624,11638,1320,55033,1976,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604101,"PUMA 04101, New York",184083,3618,47049,1455,29902,1737,183491,3492,1121,13,582900,13526,91555,2615,10595,808,52435,2924,24334,1534,81885,2566,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604102,"PUMA 04102, New York",182868,3582,49230,1681,29129,2294,181857,3581,1154,19,462900,19924,23215,1445,11573,1091,114897,3953,30033,2122,113199,3142,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604103,"PUMA 04103, New York",250458,3729,55095,1314,27672,2028,247685,3669,1217,18,530000,10348,90990,2277,6382,892,43078,2457,105439,2985,132068,3326,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604104,"PUMA 04104, New York",120600,2322,73398,2377,7307,1085,119967,2255,1314,37,568000,8790,63664,1781,2154,563,12167,1307,41324,1843,44759,1848,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604105,"PUMA 04105, New York",204564,3342,74051,1755,12640,1240,202396,3297,1222,34,439800,3670,30994,1400,115399,2794,22010,1850,28481,2329,84693,2430,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3604106,"PUMA 04106, New York",152820,3196,56773,2150,14330,1423,150002,3173,1111,18,504500,12925,56529,2289,18783,1211,26160,2094,46897,2395,70172,2378,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
